 Graphics ; Launch ; Market; Processor; Code name; Device ID; Clock rate; Clock rate; Core config1; API support; API support; API support; API support; eDRAM  (MiB);  bandwidth  (GB/s)
Graphics;Launch;Market;Processor;Code name;Device ID;Min  (MHz);Max  (MHz);Core config1;Direct3D;OpenGL;OpenCL;Vulkan;eDRAM  (MiB);bandwidth  (GB/s)
12;2017;Mobile;4.5Windows;Kaby Lake  (Gen9p5);300;192:24:3  (GT2);2.1Windows;1.1Windows  1.1Linux;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
-;2017;Mobile;38.4;Kaby Lake  (Gen9p5);300;192:24:3  (GT2);34.1;Celeron G4900  Celeron G4920  Pentium Gold G5400T  Pentium Gold G5400;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
1050;2017;Mobile;UHD Graphics 630;Kaby Lake  (Gen9p5);300;192:24:3  (GT2);34.1;Desktop;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Pentium Gold G5500T;2017;Mobile;3E91;Kaby Lake  (Gen9p5);300;192:24:3  (GT2);34.1;1050;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
184:23:3  (GT2);2017;Mobile;38.4;Kaby Lake  (Gen9p5);300;192:24:3  (GT2);Pentium Gold G5500  Pentium Gold G5600  Core i3-8100T  Core i3-8100  Core i3-8300T;1100;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Core i3-8300  Core i3-8350K;2017;Mobile;1150;Kaby Lake  (Gen9p5);300;192:24:3  (GT2);38.4;Core i5-8400T  Core i5-8400  Core i5+8400;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
3E92;2017;Mobile;1050;Kaby Lake  (Gen9p5);300;192:24:3  (GT2);38.4;192:24:3  (GT2);12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
42.7;2017;Core i5-8500T  Core i5-8500  Core i5+8500;1100;Kaby Lake  (Gen9p5);Core i5-8600T  Core i5-8600  Core i5-8600K;192:24:3  (GT2);1150;Core i7-8700T  Core i7-8700  Core i7+8700  Core i7-8700K  Core i7-8086K;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
1200;2017;Desktop;5912;Kaby Lake  (Gen9p5);350;192:24:3  (GT2);38.4;Mobile;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Core i5-8300H;2017;Desktop;5912;Kaby Lake  (Gen9p5);350;192:24:3  (GT2);38.4;3E9B;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
1000;2017;Desktop;5912;Kaby Lake  (Gen9p5);350;192:24:3  (GT2);38.4;Core i5-8400B;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
1050;2017;Core i5-8400H  Core i7-8750H;1100;Kaby Lake  (Gen9p5);350;192:24:3  (GT2);38.4;Core i5-8500B  Core i7-8850H;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
1150;2017;Core i7-8700B  Core i9-8950HK;1200;Kaby Lake  (Gen9p5);350;192:24:3  (GT2);38.4;Mobile  Workstation;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
Xeon E-2176M  Xeon E-2186M;2017;Iris Plus Graphics 655;Mobile;Kaby Lake  (Gen9p5);350;192:24:3  (GT2);38.4;Core i3-8109U  Core i5-8259U;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
3EA5;2017;300;1050;Kaby Lake  (Gen9p5);350;192:24:3  (GT2);38.4;384:48:6  (GT3);12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
128;2017;?;38.4;Kaby Lake  (Gen9p5);350;192:24:3  (GT2);38.4;Core i5-8259U;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
1100;2017;Core i7-8559U;1200;Kaby Lake  (Gen9p5);350;192:24:3  (GT2);38.4;;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.1Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;-;
